销售订单行号,产品编码,母件编码,子件编码,产生阶段,定额
2021050410-110,8000177944,8000031827,8000001413,套塑子工序,1
2021050410-110,8000177944,8000031827,8000001281,套塑子工序,1
2021050410-110,8000177944,8000031827,8000001317,套塑子工序,1
2021050410-110,8000177944,8000031827,8000001377,套塑子工序,1
2021050410-110,8000177944,8000031827,8000001389,套塑子工序,1
2021050410-110,8000177944,8000031827,8000001341,套塑子工序,1
2021050410-110,8000177944,8000031827,8000283278,套塑子工序,0.094634
2021050410-110,8000177944,8000031827,8000001305,套塑子工序,1
2021050410-110,8000177944,8000031827,8000224609,套塑子工序,2.706341
2021050410-110,8000177944,8000031827,8000225972,套塑子工序,1.437073
2021050410-110,8000177944,8000031827,8000001293,套塑子工序,1
2021050410-110,8000177944,8000031827,8000001269,套塑子工序,1
2021050410-110,8000177944,8000031827,8000001353,套塑子工序,1
2021050410-110,8000177944,8000031827,8000001401,套塑子工序,1
2021050410-110,8000177944,8002192391,8000001365,套塑子工序,1
2021050410-110,8000177944,8002192391,8000001293,套塑子工序,1
2021050410-110,8000177944,8002192391,8000001317,套塑子工序,1
2021050410-110,8000177944,8002192391,8000001353,套塑子工序,1
2021050410-110,8000177944,8002192391,8000001401,套塑子工序,1
2021050410-110,8000177944,8002192391,8000001341,套塑子工序,1
2021050410-110,8000177944,8002192391,8000001377,套塑子工序,1
2021050410-110,8000177944,8002192391,8000001269,套塑子工序,1
2021050410-110,8000177944,8002192391,8000001389,套塑子工序,1
2021050410-110,8000177944,8002192391,8000001413,套塑子工序,1
2021050410-110,8000177944,8002192391,8000224609,套塑子工序,2.706341
2021050410-110,8000177944,8002192391,8000001305,套塑子工序,1
2021050410-110,8000177944,8002192391,8000001281,套塑子工序,1
2021050410-110,8000177944,8002192391,8000283270,套塑子工序,0.094634
2021050410-110,8000177944,8002192391,8000225972,套塑子工序,1.437073
2021050410-110,8000177944,8000031819,8000224609,套塑子工序,2.706341
2021050410-110,8000177944,8000031819,8000001389,套塑子工序,1
2021050410-110,8000177944,8000031819,8000001353,套塑子工序,1
2021050410-110,8000177944,8000031819,8000001413,套塑子工序,1
2021050410-110,8000177944,8000031819,8000001281,套塑子工序,1
2021050410-110,8000177944,8000031819,8000225972,套塑子工序,1.437073
2021050410-110,8000177944,8000031819,8000283270,套塑子工序,0.094634
2021050410-110,8000177944,8000031819,8000001305,套塑子工序,1
2021050410-110,8000177944,8000031819,8000001341,套塑子工序,1
2021050410-110,8000177944,8000031819,8000001401,套塑子工序,1
2021050410-110,8000177944,8000031819,8000001269,套塑子工序,1
2021050410-110,8000177944,8000031819,8000001293,套塑子工序,1
2021050410-110,8000177944,8000031819,8000001317,套塑子工序,1
2021050410-110,8000177944,8000031819,8000001365,套塑子工序,1
2021050410-110,8000177944,8000031819,8000001377,套塑子工序,1
2021050410-110,8000177944,8000031824,8000001353,套塑子工序,1
2021050410-110,8000177944,8000031824,8000224609,套塑子工序,2.705078
2021050410-110,8000177944,8000031824,8000001413,套塑子工序,1
2021050410-110,8000177944,8000031824,8000001281,套塑子工序,1
2021050410-110,8000177944,8000031824,8000001269,套塑子工序,1
2021050410-110,8000177944,8000031824,8000001305,套塑子工序,1
2021050410-110,8000177944,8000031824,8000001365,套塑子工序,1
2021050410-110,8000177944,8000031824,8000001377,套塑子工序,1
2021050410-110,8000177944,8000031824,8000001293,套塑子工序,1
2021050410-110,8000177944,8000031824,8000001341,套塑子工序,1
2021050410-110,8000177944,8000031824,8000225972,套塑子工序,1.436523
2021050410-110,8000177944,8000031824,8000001401,套塑子工序,1
2021050410-110,8000177944,8000031824,8000001389,套塑子工序,1
2021050410-110,8000177944,8000031824,8000001317,套塑子工序,1
2021050410-110,8000177944,8000031821,8000001401,套塑子工序,1
2021050410-110,8000177944,8000031821,8000001269,套塑子工序,1
2021050410-110,8000177944,8000031821,8000001365,套塑子工序,1
2021050410-110,8000177944,8000031821,8000001317,套塑子工序,1
2021050410-110,8000177944,8000031821,8000001353,套塑子工序,1
2021050410-110,8000177944,8000031821,8000001377,套塑子工序,1
2021050410-110,8000177944,8000031821,8000001305,套塑子工序,1
2021050410-110,8000177944,8000031821,8000001281,套塑子工序,1
2021050410-110,8000177944,8000031821,8000001413,套塑子工序,1
2021050410-110,8000177944,8000031821,8000001341,套塑子工序,1
2021050410-110,8000177944,8000031821,8000001389,套塑子工序,1
2021050410-110,8000177944,8000031821,8000283272,套塑子工序,0.094727
2021050410-110,8000177944,8000031821,8000225972,套塑子工序,1.436523
2021050410-110,8000177944,8000031821,8000001293,套塑子工序,1
2021050410-110,8000177944,8000031821,8000224609,套塑子工序,2.705078
2021050410-110,8000177944,8000031830,8000001341,套塑子工序,1
2021050410-110,8000177944,8000031830,8000001281,套塑子工序,1
2021050410-110,8000177944,8000031830,8000001293,套塑子工序,1
2021050410-110,8000177944,8000031830,8000001353,套塑子工序,1
2021050410-110,8000177944,8000031830,8000224624,套塑子工序,0.094634
2021050410-110,8000177944,8000031830,8000001305,套塑子工序,1
2021050410-110,8000177944,8000031830,8000224609,套塑子工序,2.706341
2021050410-110,8000177944,8000031830,8000001377,套塑子工序,1
2021050410-110,8000177944,8000031830,8000001317,套塑子工序,1
2021050410-110,8000177944,8000031830,8000001401,套塑子工序,1
2021050410-110,8000177944,8000031830,8000001365,套塑子工序,1
2021050410-110,8000177944,8000031830,8000225972,套塑子工序,1.437073
2021050410-110,8000177944,8000031830,8000001413,套塑子工序,1
2021050410-110,8000177944,8000031830,8000001389,套塑子工序,1
2021050410-110,8000177944,8000031830,8000001269,套塑子工序,1
2021050410-110,8000177944,8000031825,8000001413,套塑子工序,1
2021050410-110,8000177944,8000031825,8000001341,套塑子工序,1
2021050410-110,8000177944,8000031825,8000001293,套塑子工序,1
2021050410-110,8000177944,8000031825,8000225972,套塑子工序,1.436523
2021050410-110,8000177944,8000031825,8000001401,套塑子工序,1
2021050410-110,8000177944,8000031825,8000001377,套塑子工序,1
2021050410-110,8000177944,8000031825,8000001365,套塑子工序,1
2021050410-110,8000177944,8000031825,8000001305,套塑子工序,1
2021050410-110,8000177944,8000031825,8000224609,套塑子工序,2.705078
2021050410-110,8000177944,8000031825,8000283276,套塑子工序,0.094727
2021050410-110,8000177944,8000031825,8000001269,套塑子工序,1
2021050410-110,8000177944,8000031825,8000001317,套塑子工序,1
2021050410-110,8000177944,8000031825,8000001389,套塑子工序,1
2021050410-110,8000177944,8000031825,8000001281,套塑子工序,1
2021050410-110,8000177944,8000031825,8000001353,套塑子工序,1
2021050410-110,8000177944,8000031828,8000001401,套塑子工序,1
2021050410-110,8000177944,8000031828,8000001317,套塑子工序,1
2021050410-110,8000177944,8000031828,8000001305,套塑子工序,1
2021050410-110,8000177944,8000031828,8000001341,套塑子工序,1
2021050410-110,8000177944,8000031828,8000224609,套塑子工序,2.706341
2021050410-110,8000177944,8000031828,8000001413,套塑子工序,1
2021050410-110,8000177944,8000031828,8000001293,套塑子工序,1
2021050410-110,8000177944,8000031828,8000001281,套塑子工序,1
2021050410-110,8000177944,8000031828,8000225972,套塑子工序,1.437073
2021050410-110,8000177944,8000031828,8000001269,套塑子工序,1
2021050410-110,8000177944,8000031828,8000283279,套塑子工序,0.094634
2021050410-110,8000177944,8000031828,8000001377,套塑子工序,1
2021050410-110,8000177944,8000031828,8000001353,套塑子工序,1
2021050410-110,8000177944,8000031828,8000001389,套塑子工序,1
2021050410-110,8000177944,8000031828,8000001365,套塑子工序,1
2021050410-110,8000177944,8000001341,8000000002,着色子工序,1
2021050410-110,8000177944,8000001341,8000225743,着色子工序,0.005854
2021050410-110,8000177944,8000001401,8000000002,着色子工序,1
2021050410-110,8000177944,8000001401,8000225748,着色子工序,0.005854
2021050410-110,8000177944,8000001305,8000225740,着色子工序,0.005854
2021050410-110,8000177944,8000001305,8000000002,着色子工序,1
2021050410-110,8000177944,8000001377,8000000002,着色子工序,1
2021050410-110,8000177944,8000001377,8000225746,着色子工序,0.005854
2021050410-110,8000177944,8000001317,8000000002,着色子工序,1
2021050410-110,8000177944,8000001317,8000225741,着色子工序,0.005854
2021050410-110,8000177944,8000001293,8000225739,着色子工序,0.005859
2021050410-110,8000177944,8000001293,8000000002,着色子工序,1
2021050410-110,8000177944,8000001353,8000000002,着色子工序,1
2021050410-110,8000177944,8000001353,8000225744,着色子工序,0.005854
2021050410-110,8000177944,8000001281,8000225738,着色子工序,0.005854
2021050410-110,8000177944,8000001281,8000000002,着色子工序,1
2021050410-110,8000177944,8000001269,8000225737,着色子工序,0.005859
2021050410-110,8000177944,8000001269,8000000002,着色子工序,1
2021050410-110,8000177944,8000001413,8000000002,着色子工序,1
2021050410-110,8000177944,8000001365,8000000002,着色子工序,1
2021050410-110,8000177944,8000001365,8000225745,着色子工序,0.005854
2021050410-110,8000177944,8000001389,8000000002,着色子工序,1
2021050410-110,8000177944,8000001389,8000225747,着色子工序,0.005859
2021050410-110,8000177944,8000279403,8000224419,加强件子工序,9.779048
2021050410-110,8000177944,8000279403,8000284986,加强件子工序,38.288571
2021050472-10,8000179757,8000179757,8000225974,外护子工序,8.6
2021050472-10,8000179757,8000179757,8000281308,外护子工序,39.453
2021050472-10,8000179757,8000179757,8000257450,外护子工序,1
2021050472-10,8000179757,8000179757,8000284246,外护子工序,79.918
2021050472-10,8000179757,8000257450,8000055921,内护子工序,1.018
2021050472-10,8000179757,8000257450,8000284246,内护子工序,32.799
2021050472-10,8000179757,8000257450,8000274286,内护子工序,12.477
2021050472-10,8000179757,8000257450,8000225974,内护子工序,11.154
2021050472-10,8000179757,8000055921,8000225974,成缆子工序,6.261297
2021050472-10,8000179757,8000055921,8000033399,成缆子工序,1
2021050472-10,8000179757,8000055921,8000033394,成缆子工序,1
2021050472-10,8000179757,8000055921,8000239089,成缆子工序,0.270138
2021050472-10,8000179757,8000055921,8000275219,成缆子工序,0.270138
2021050472-10,8000179757,8000055921,8000258291,成缆子工序,1.031434
2021050472-10,8000179757,8000055921,8000033395,成缆子工序,1
2021050472-10,8000179757,8000055921,8000033396,成缆子工序,1
2021050472-10,8000179757,8000055921,8000033398,成缆子工序,1
2021050472-10,8000179757,8000055921,8000033397,成缆子工序,1
2021050472-10,8000179757,8000033399,8000001317,套塑子工序,1
2021050472-10,8000179757,8000033399,8000001389,套塑子工序,1
2021050472-10,8000179757,8000033399,8000001353,套塑子工序,1
2021050472-10,8000179757,8000033399,8000001305,套塑子工序,1
2021050472-10,8000179757,8000033399,8000001413,套塑子工序,1
2021050472-10,8000179757,8000033399,8000001341,套塑子工序,1
2021050472-10,8000179757,8000033399,8000001401,套塑子工序,1
2021050472-10,8000179757,8000033399,8000224609,套塑子工序,3.297642
2021050472-10,8000179757,8000033399,8000001377,套塑子工序,1
2021050472-10,8000179757,8000033399,8000001365,套塑子工序,1
2021050472-10,8000179757,8000033399,8000001269,套塑子工序,1
2021050472-10,8000179757,8000033399,8000001281,套塑子工序,1
2021050472-10,8000179757,8000033399,8000001293,套塑子工序,1
2021050472-10,8000179757,8000033399,8000225972,套塑子工序,1.79666
2021050472-10,8000179757,8000033394,8000001269,套塑子工序,1
2021050472-10,8000179757,8000033394,8000225972,套塑子工序,1.79666
2021050472-10,8000179757,8000033394,8000001281,套塑子工序,1
2021050472-10,8000179757,8000033394,8000283270,套塑子工序,0.115914
2021050472-10,8000179757,8000033394,8000001389,套塑子工序,1
2021050472-10,8000179757,8000033394,8000224609,套塑子工序,3.297642
2021050472-10,8000179757,8000033394,8000001401,套塑子工序,1
2021050472-10,8000179757,8000033394,8000001377,套塑子工序,1
2021050472-10,8000179757,8000033394,8000001365,套塑子工序,1
2021050472-10,8000179757,8000033394,8000001305,套塑子工序,1
2021050472-10,8000179757,8000033394,8000001317,套塑子工序,1
2021050472-10,8000179757,8000033394,8000001341,套塑子工序,1
2021050472-10,8000179757,8000033394,8000001293,套塑子工序,1
2021050472-10,8000179757,8000033394,8000001353,套塑子工序,1
2021050472-10,8000179757,8000033394,8000001413,套塑子工序,1
2021050472-10,8000179757,8000258291,8000224419,加强件子工序,2.308571
2021050472-10,8000179757,8000258291,8000222314,加强件子工序,19.848571
2021050472-10,8000179757,8000033395,8000001401,套塑子工序,1
2021050472-10,8000179757,8000033395,8000001293,套塑子工序,1
2021050472-10,8000179757,8000033395,8000001305,套塑子工序,1
2021050472-10,8000179757,8000033395,8000001269,套塑子工序,1
2021050472-10,8000179757,8000033395,8000224609,套塑子工序,3.297642
2021050472-10,8000179757,8000033395,8000001341,套塑子工序,1
2021050472-10,8000179757,8000033395,8000225972,套塑子工序,1.79666
2021050472-10,8000179757,8000033395,8000001281,套塑子工序,1
2021050472-10,8000179757,8000033395,8000001389,套塑子工序,1
2021050472-10,8000179757,8000033395,8000001413,套塑子工序,1
2021050472-10,8000179757,8000033395,8000283271,套塑子工序,0.115914
2021050472-10,8000179757,8000033395,8000001353,套塑子工序,1
2021050472-10,8000179757,8000033395,8000001365,套塑子工序,1
2021050472-10,8000179757,8000033395,8000001317,套塑子工序,1
2021050472-10,8000179757,8000033395,8000001377,套塑子工序,1
2021050472-10,8000179757,8000033396,8000001377,套塑子工序,1
2021050472-10,8000179757,8000033396,8000001305,套塑子工序,1
2021050472-10,8000179757,8000033396,8000001281,套塑子工序,1
2021050472-10,8000179757,8000033396,8000225972,套塑子工序,1.79666
2021050472-10,8000179757,8000033396,8000001413,套塑子工序,1
2021050472-10,8000179757,8000033396,8000001269,套塑子工序,1
2021050472-10,8000179757,8000033396,8000224609,套塑子工序,3.297642
2021050472-10,8000179757,8000033396,8000001389,套塑子工序,1
2021050472-10,8000179757,8000033396,8000001365,套塑子工序,1
2021050472-10,8000179757,8000033396,8000283272,套塑子工序,0.115914
2021050472-10,8000179757,8000033396,8000001353,套塑子工序,1
2021050472-10,8000179757,8000033396,8000001401,套塑子工序,1
2021050472-10,8000179757,8000033396,8000001293,套塑子工序,1
2021050472-10,8000179757,8000033396,8000001317,套塑子工序,1
2021050472-10,8000179757,8000033396,8000001341,套塑子工序,1
2021050472-10,8000179757,8000033398,8000001413,套塑子工序,1
2021050472-10,8000179757,8000033398,8000224609,套塑子工序,3.297642
2021050472-10,8000179757,8000033398,8000001281,套塑子工序,1
2021050472-10,8000179757,8000033398,8000001389,套塑子工序,1
2021050472-10,8000179757,8000033398,8000001401,套塑子工序,1
2021050472-10,8000179757,8000033398,8000001353,套塑子工序,1
2021050472-10,8000179757,8000033398,8000001269,套塑子工序,1
2021050472-10,8000179757,8000033398,8000001293,套塑子工序,1
2021050472-10,8000179757,8000033398,8000001377,套塑子工序,1
2021050472-10,8000179757,8000033398,8000225972,套塑子工序,1.79666
2021050472-10,8000179757,8000033398,8000001341,套塑子工序,1
2021050472-10,8000179757,8000033398,8000283274,套塑子工序,0.115914
2021050472-10,8000179757,8000033398,8000001317,套塑子工序,1
2021050472-10,8000179757,8000033398,8000001365,套塑子工序,1
2021050472-10,8000179757,8000033398,8000001305,套塑子工序,1
2021050472-10,8000179757,8000033397,8000001377,套塑子工序,1
2021050472-10,8000179757,8000033397,8000001341,套塑子工序,1
2021050472-10,8000179757,8000033397,8000001269,套塑子工序,1
2021050472-10,8000179757,8000033397,8000224609,套塑子工序,3.297642
2021050472-10,8000179757,8000033397,8000001317,套塑子工序,1
2021050472-10,8000179757,8000033397,8000001365,套塑子工序,1
2021050472-10,8000179757,8000033397,8000001293,套塑子工序,1
2021050472-10,8000179757,8000033397,8000001281,套塑子工序,1
2021050472-10,8000179757,8000033397,8000001353,套塑子工序,1
2021050472-10,8000179757,8000033397,8000001401,套塑子工序,1
2021050472-10,8000179757,8000033397,8000001413,套塑子工序,1
2021050472-10,8000179757,8000033397,8000283273,套塑子工序,0.115914
2021050472-10,8000179757,8000033397,8000001305,套塑子工序,1
2021050472-10,8000179757,8000033397,8000001389,套塑子工序,1
2021050472-10,8000179757,8000033397,8000225972,套塑子工序,1.79666
2021050472-10,8000179757,8000001317,8000225741,着色子工序,0.005894
2021050472-10,8000179757,8000001317,8000000002,着色子工序,1
2021050472-10,8000179757,8000001389,8000000002,着色子工序,1
2021050472-10,8000179757,8000001389,8000225747,着色子工序,0.005894
2021050472-10,8000179757,8000001353,8000225744,着色子工序,0.005894
2021050472-10,8000179757,8000001353,8000000002,着色子工序,1
2021050472-10,8000179757,8000001305,8000225740,着色子工序,0.005894
2021050472-10,8000179757,8000001305,8000000002,着色子工序,1
2021050472-10,8000179757,8000001413,8000000002,着色子工序,1
2021050472-10,8000179757,8000001341,8000225743,着色子工序,0.005894
2021050472-10,8000179757,8000001341,8000000002,着色子工序,1
2021050472-10,8000179757,8000001401,8000000002,着色子工序,1
2021050472-10,8000179757,8000001401,8000225748,着色子工序,0.005894
2021050472-10,8000179757,8000001377,8000225746,着色子工序,0.005894
2021050472-10,8000179757,8000001377,8000000002,着色子工序,1
2021050472-10,8000179757,8000001365,8000000002,着色子工序,1
2021050472-10,8000179757,8000001365,8000225745,着色子工序,0.005894
2021050472-10,8000179757,8000001269,8000225737,着色子工序,0.005894
2021050472-10,8000179757,8000001269,8000000002,着色子工序,1
2021050472-10,8000179757,8000001281,8000225738,着色子工序,0.005894
2021050472-10,8000179757,8000001281,8000000002,着色子工序,1
2021050472-10,8000179757,8000001293,8000000002,着色子工序,1
2021050472-10,8000179757,8000001293,8000225739,着色子工序,0.005894
2021055418-10,8000182403,8000182403,8000283379,外护子工序,0.328
2021055418-10,8000182403,8000182403,8000224420,外护子工序,92.44
2021055418-10,8000182403,8000182403,8000063122,外护子工序,1.026
2021055418-10,8000182403,8000182403,8000258324,外护子工序,17.935
2021055418-10,8000182403,8000182403,8000223887,外护子工序,1.89
2021055418-10,8000182403,8000063122,8000032872,成缆子工序,1
2021055418-10,8000182403,8000063122,8000225974,成缆子工序,10.714425
2021055418-10,8000182403,8000063122,8000032875,成缆子工序,1
2021055418-10,8000182403,8000063122,8000032879,成缆子工序,1
2021055418-10,8000182403,8000063122,8000032871,成缆子工序,1
2021055418-10,8000182403,8000063122,8000224761,成缆子工序,1.517544
2021055418-10,8000182403,8000063122,8000032877,成缆子工序,1
2021055418-10,8000182403,8000063122,8000032878,成缆子工序,1
2021055418-10,8000182403,8000063122,8000270833,成缆子工序,1.023392
2021055418-10,8000182403,8000063122,8000032874,成缆子工序,1
2021055418-10,8000182403,8000063122,8000032873,成缆子工序,1
2021055418-10,8000182403,8000063122,8000032869,成缆子工序,1
2021055418-10,8000182403,8000063122,8000032880,成缆子工序,1
2021055418-10,8000182403,8000063122,8000032870,成缆子工序,1
2021055418-10,8000182403,8000063122,8000032876,成缆子工序,1
2021055418-10,8000182403,8000063122,8000239096,成缆子工序,1.102339
2021055418-10,8000182403,8000032872,8000224609,套塑子工序,2.917154
2021055418-10,8000182403,8000032872,8000001281,套塑子工序,1
2021055418-10,8000182403,8000032872,8000001329,套塑子工序,1
2021055418-10,8000182403,8000032872,8000225972,套塑子工序,1.717349
2021055418-10,8000182403,8000032872,8000283273,套塑子工序,0.102339
2021055418-10,8000182403,8000032872,8000001365,套塑子工序,1
2021055418-10,8000182403,8000032872,8000001293,套塑子工序,1
2021055418-10,8000182403,8000032872,8000001317,套塑子工序,1
2021055418-10,8000182403,8000032872,8000001353,套塑子工序,1
2021055418-10,8000182403,8000032872,8000001341,套塑子工序,1
2021055418-10,8000182403,8000032872,8000001377,套塑子工序,1
2021055418-10,8000182403,8000032872,8000001389,套塑子工序,1
2021055418-10,8000182403,8000032872,8000001401,套塑子工序,1
2021055418-10,8000182403,8000032872,8000001305,套塑子工序,1
2021055418-10,8000182403,8000032872,8000001269,套塑子工序,1
2021055418-10,8000182403,8000032875,8000001317,套塑子工序,1
2021055418-10,8000182403,8000032875,8000001305,套塑子工序,1
2021055418-10,8000182403,8000032875,8000001341,套塑子工序,1
2021055418-10,8000182403,8000032875,8000001329,套塑子工序,1
2021055418-10,8000182403,8000032875,8000001293,套塑子工序,1
2021055418-10,8000182403,8000032875,8000224609,套塑子工序,2.917154
2021055418-10,8000182403,8000032875,8000001389,套塑子工序,1
2021055418-10,8000182403,8000032875,8000001401,套塑子工序,1
2021055418-10,8000182403,8000032875,8000001377,套塑子工序,1
2021055418-10,8000182403,8000032875,8000225972,套塑子工序,1.717349
2021055418-10,8000182403,8000032875,8000001269,套塑子工序,1
2021055418-10,8000182403,8000032875,8000283276,套塑子工序,0.102339
2021055418-10,8000182403,8000032875,8000001365,套塑子工序,1
2021055418-10,8000182403,8000032875,8000001353,套塑子工序,1
2021055418-10,8000182403,8000032875,8000001281,套塑子工序,1
2021055418-10,8000182403,8000032879,8000001377,套塑子工序,1
2021055418-10,8000182403,8000032879,8000001389,套塑子工序,1
2021055418-10,8000182403,8000032879,8000001293,套塑子工序,1
2021055418-10,8000182403,8000032879,8000001365,套塑子工序,1
2021055418-10,8000182403,8000032879,8000001317,套塑子工序,1
2021055418-10,8000182403,8000032879,8000001353,套塑子工序,1
2021055418-10,8000182403,8000032879,8000001341,套塑子工序,1
2021055418-10,8000182403,8000032879,8000224609,套塑子工序,2.917154
2021055418-10,8000182403,8000032879,8000224623,套塑子工序,0.102339
2021055418-10,8000182403,8000032879,8000225972,套塑子工序,1.717349
2021055418-10,8000182403,8000032879,8000001401,套塑子工序,1
2021055418-10,8000182403,8000032879,8000001269,套塑子工序,1
2021055418-10,8000182403,8000032879,8000001329,套塑子工序,1
2021055418-10,8000182403,8000032879,8000001281,套塑子工序,1
2021055418-10,8000182403,8000032879,8000001305,套塑子工序,1
2021055418-10,8000182403,8000032871,8000001353,套塑子工序,1
2021055418-10,8000182403,8000032871,8000001329,套塑子工序,1
2021055418-10,8000182403,8000032871,8000001401,套塑子工序,1
2021055418-10,8000182403,8000032871,8000001365,套塑子工序,1
2021055418-10,8000182403,8000032871,8000283272,套塑子工序,0.102339
2021055418-10,8000182403,8000032871,8000001281,套塑子工序,1
2021055418-10,8000182403,8000032871,8000224609,套塑子工序,2.917154
2021055418-10,8000182403,8000032871,8000001293,套塑子工序,1
2021055418-10,8000182403,8000032871,8000001269,套塑子工序,1
2021055418-10,8000182403,8000032871,8000001389,套塑子工序,1
2021055418-10,8000182403,8000032871,8000001305,套塑子工序,1
2021055418-10,8000182403,8000032871,8000001377,套塑子工序,1
2021055418-10,8000182403,8000032871,8000001341,套塑子工序,1
2021055418-10,8000182403,8000032871,8000225972,套塑子工序,1.717349
2021055418-10,8000182403,8000032871,8000001317,套塑子工序,1
2021055418-10,8000182403,8000032877,8000001269,套塑子工序,1
2021055418-10,8000182403,8000032877,8000001329,套塑子工序,1
2021055418-10,8000182403,8000032877,8000001317,套塑子工序,1
2021055418-10,8000182403,8000032877,8000001401,套塑子工序,1
2021055418-10,8000182403,8000032877,8000001365,套塑子工序,1
2021055418-10,8000182403,8000032877,8000001281,套塑子工序,1
2021055418-10,8000182403,8000032877,8000001377,套塑子工序,1
2021055418-10,8000182403,8000032877,8000001353,套塑子工序,1
2021055418-10,8000182403,8000032877,8000001293,套塑子工序,1
2021055418-10,8000182403,8000032877,8000001341,套塑子工序,1
2021055418-10,8000182403,8000032877,8000001389,套塑子工序,1
2021055418-10,8000182403,8000032877,8000283278,套塑子工序,0.102339
2021055418-10,8000182403,8000032877,8000001305,套塑子工序,1
2021055418-10,8000182403,8000032877,8000225972,套塑子工序,1.717349
2021055418-10,8000182403,8000032877,8000224609,套塑子工序,2.917154
2021055418-10,8000182403,8000032878,8000001329,套塑子工序,1
2021055418-10,8000182403,8000032878,8000001317,套塑子工序,1
2021055418-10,8000182403,8000032878,8000001305,套塑子工序,1
2021055418-10,8000182403,8000032878,8000001389,套塑子工序,1
2021055418-10,8000182403,8000032878,8000001353,套塑子工序,1
2021055418-10,8000182403,8000032878,8000001293,套塑子工序,1
2021055418-10,8000182403,8000032878,8000001281,套塑子工序,1
2021055418-10,8000182403,8000032878,8000283279,套塑子工序,0.102339
2021055418-10,8000182403,8000032878,8000001377,套塑子工序,1
2021055418-10,8000182403,8000032878,8000225972,套塑子工序,1.717349
2021055418-10,8000182403,8000032878,8000001341,套塑子工序,1
2021055418-10,8000182403,8000032878,8000224609,套塑子工序,2.917154
2021055418-10,8000182403,8000032878,8000001401,套塑子工序,1
2021055418-10,8000182403,8000032878,8000001365,套塑子工序,1
2021055418-10,8000182403,8000032878,8000001269,套塑子工序,1
2021055418-10,8000182403,8000270833,8000224419,加强件子工序,27.809524
2021055418-10,8000182403,8000270833,8000223854,加强件子工序,1
2021055418-10,8000182403,8000032874,8000001341,套塑子工序,1
2021055418-10,8000182403,8000032874,8000001329,套塑子工序,1
2021055418-10,8000182403,8000032874,8000001293,套塑子工序,1
2021055418-10,8000182403,8000032874,8000001353,套塑子工序,1
2021055418-10,8000182403,8000032874,8000001305,套塑子工序,1
2021055418-10,8000182403,8000032874,8000001401,套塑子工序,1
2021055418-10,8000182403,8000032874,8000001389,套塑子工序,1
2021055418-10,8000182403,8000032874,8000001269,套塑子工序,1
2021055418-10,8000182403,8000032874,8000001317,套塑子工序,1
2021055418-10,8000182403,8000032874,8000001377,套塑子工序,1
2021055418-10,8000182403,8000032874,8000225972,套塑子工序,1.717349
2021055418-10,8000182403,8000032874,8000224609,套塑子工序,2.917154
2021055418-10,8000182403,8000032874,8000001365,套塑子工序,1
2021055418-10,8000182403,8000032874,8000001281,套塑子工序,1
2021055418-10,8000182403,8000032873,8000001353,套塑子工序,1
2021055418-10,8000182403,8000032873,8000001377,套塑子工序,1
2021055418-10,8000182403,8000032873,8000001305,套塑子工序,1
2021055418-10,8000182403,8000032873,8000001401,套塑子工序,1
2021055418-10,8000182403,8000032873,8000224617,套塑子工序,0.102339
2021055418-10,8000182403,8000032873,8000001269,套塑子工序,1
2021055418-10,8000182403,8000032873,8000224609,套塑子工序,2.917154
2021055418-10,8000182403,8000032873,8000001293,套塑子工序,1
2021055418-10,8000182403,8000032873,8000001317,套塑子工序,1
2021055418-10,8000182403,8000032873,8000001341,套塑子工序,1
2021055418-10,8000182403,8000032873,8000001329,套塑子工序,1
2021055418-10,8000182403,8000032873,8000001281,套塑子工序,1
2021055418-10,8000182403,8000032873,8000001389,套塑子工序,1
2021055418-10,8000182403,8000032873,8000225972,套塑子工序,1.717349
2021055418-10,8000182403,8000032873,8000001365,套塑子工序,1
2021055418-10,8000182403,8000032869,8000283270,套塑子工序,0.102339
2021055418-10,8000182403,8000032869,8000001365,套塑子工序,1
2021055418-10,8000182403,8000032869,8000225972,套塑子工序,1.717349
2021055418-10,8000182403,8000032869,8000001293,套塑子工序,1
2021055418-10,8000182403,8000032869,8000001317,套塑子工序,1
2021055418-10,8000182403,8000032869,8000001281,套塑子工序,1
2021055418-10,8000182403,8000032869,8000001329,套塑子工序,1
2021055418-10,8000182403,8000032869,8000001377,套塑子工序,1
2021055418-10,8000182403,8000032869,8000001353,套塑子工序,1
2021055418-10,8000182403,8000032869,8000001341,套塑子工序,1
2021055418-10,8000182403,8000032869,8000001305,套塑子工序,1
2021055418-10,8000182403,8000032869,8000001389,套塑子工序,1
2021055418-10,8000182403,8000032869,8000224609,套塑子工序,2.917154
2021055418-10,8000182403,8000032869,8000001401,套塑子工序,1
2021055418-10,8000182403,8000032869,8000001269,套塑子工序,1
2021055418-10,8000182403,8000032880,8000001341,套塑子工序,1
2021055418-10,8000182403,8000032880,8000001293,套塑子工序,1
2021055418-10,8000182403,8000032880,8000001389,套塑子工序,1
2021055418-10,8000182403,8000032880,8000001317,套塑子工序,1
2021055418-10,8000182403,8000032880,8000001269,套塑子工序,1
2021055418-10,8000182403,8000032880,8000001401,套塑子工序,1
2021055418-10,8000182403,8000032880,8000001353,套塑子工序,1
2021055418-10,8000182403,8000032880,8000224624,套塑子工序,0.102339
2021055418-10,8000182403,8000032880,8000001305,套塑子工序,1
