销售订单行号,产品编码,母件编码,子件编码,产生阶段,定额,采购
2021050472-10,8000179757,8000258291,8000224419,加强件子工序,2.308571,是
2021050472-10,8000179757,8000258291,8000222314,加强件子工序,19.848571,是
2021050472-10,8000179757,8000033395,8000001401,套塑子工序,1,8000001401
2021050472-10,8000179757,8000033395,8000001293,套塑子工序,1,8000001293
2021050472-10,8000179757,8000033395,8000001305,套塑子工序,1,8000001305
2021050472-10,8000179757,8000033395,8000001269,套塑子工序,1,8000001269
2021050472-10,8000179757,8000033395,8000224609,套塑子工序,3.297642,是
2021050472-10,8000179757,8000033395,8000001341,套塑子工序,1,8000001341
2021050472-10,8000179757,8000033395,8000225972,套塑子工序,1.79666,是
2021050472-10,8000179757,8000033395,8000001281,套塑子工序,1,8000001281
2021050472-10,8000179757,8000033395,8000001389,套塑子工序,1,8000001389
2021050472-10,8000179757,8000033395,8000001413,套塑子工序,1,8000001413
2021050472-10,8000179757,8000033395,8000283271,套塑子工序,0.115914,是
2021050472-10,8000179757,8000033395,8000001353,套塑子工序,1,8000001353
2021050472-10,8000179757,8000033395,8000001365,套塑子工序,1,8000001365
2021050472-10,8000179757,8000033395,8000001317,套塑子工序,1,8000001317
2021050472-10,8000179757,8000033395,8000001377,套塑子工序,1,8000001377
2021050472-10,8000179757,8000033396,8000001377,套塑子工序,1,8000001377
2021050472-10,8000179757,8000033396,8000001305,套塑子工序,1,8000001305
2021050472-10,8000179757,8000033396,8000001281,套塑子工序,1,8000001281
2021050472-10,8000179757,8000033396,8000225972,套塑子工序,1.79666,是
2021050472-10,8000179757,8000033396,8000001413,套塑子工序,1,8000001413
2021050472-10,8000179757,8000033396,8000001269,套塑子工序,1,8000001269
2021050472-10,8000179757,8000033396,8000224609,套塑子工序,3.297642,是
2021050472-10,8000179757,8000033396,8000001389,套塑子工序,1,8000001389
2021050472-10,8000179757,8000033396,8000001365,套塑子工序,1,8000001365
2021050472-10,8000179757,8000033396,8000283272,套塑子工序,0.115914,是
2021050472-10,8000179757,8000033396,8000001353,套塑子工序,1,8000001353
2021050472-10,8000179757,8000033396,8000001401,套塑子工序,1,8000001401
2021050472-10,8000179757,8000033396,8000001293,套塑子工序,1,8000001293
2021050472-10,8000179757,8000033396,8000001317,套塑子工序,1,8000001317
2021050472-10,8000179757,8000033396,8000001341,套塑子工序,1,8000001341
2021050472-10,8000179757,8000033398,8000001413,套塑子工序,1,8000001413
2021050472-10,8000179757,8000033398,8000224609,套塑子工序,3.297642,是
2021050472-10,8000179757,8000033398,8000001281,套塑子工序,1,8000001281
2021050472-10,8000179757,8000033398,8000001389,套塑子工序,1,8000001389
2021050472-10,8000179757,8000033398,8000001401,套塑子工序,1,8000001401
2021050472-10,8000179757,8000033398,8000001353,套塑子工序,1,8000001353
2021050472-10,8000179757,8000033398,8000001269,套塑子工序,1,8000001269
2021050472-10,8000179757,8000033398,8000001293,套塑子工序,1,8000001293
2021050472-10,8000179757,8000033398,8000001377,套塑子工序,1,8000001377
2021050472-10,8000179757,8000033398,8000225972,套塑子工序,1.79666,是
2021050472-10,8000179757,8000033398,8000001341,套塑子工序,1,8000001341
2021050472-10,8000179757,8000033398,8000283274,套塑子工序,0.115914,是
2021050472-10,8000179757,8000033398,8000001317,套塑子工序,1,8000001317
2021050472-10,8000179757,8000033398,8000001365,套塑子工序,1,8000001365
2021050472-10,8000179757,8000033398,8000001305,套塑子工序,1,8000001305
2021050472-10,8000179757,8000033397,8000001377,套塑子工序,1,8000001377
2021050472-10,8000179757,8000033397,8000001341,套塑子工序,1,8000001341
2021050472-10,8000179757,8000033397,8000001269,套塑子工序,1,8000001269
2021050472-10,8000179757,8000033397,8000224609,套塑子工序,3.297642,是
2021050472-10,8000179757,8000033397,8000001317,套塑子工序,1,8000001317
2021050472-10,8000179757,8000033397,8000001365,套塑子工序,1,8000001365
2021050472-10,8000179757,8000033397,8000001293,套塑子工序,1,8000001293
2021050472-10,8000179757,8000033397,8000001281,套塑子工序,1,8000001281
2021050472-10,8000179757,8000033397,8000001353,套塑子工序,1,8000001353
2021050472-10,8000179757,8000033397,8000001401,套塑子工序,1,8000001401
2021050472-10,8000179757,8000033397,8000001413,套塑子工序,1,8000001413
2021050472-10,8000179757,8000033397,8000283273,套塑子工序,0.115914,是
2021050472-10,8000179757,8000033397,8000001305,套塑子工序,1,8000001305
2021050472-10,8000179757,8000033397,8000001389,套塑子工序,1,8000001389
2021050472-10,8000179757,8000033397,8000225972,套塑子工序,1.79666,是
2021050472-10,8000179757,8000001317,8000225741,着色子工序,0.005894,是
2021050472-10,8000179757,8000001317,8000000002,着色子工序,1,是
2021050472-10,8000179757,8000001389,8000000002,着色子工序,1,是
2021050472-10,8000179757,8000001389,8000225747,着色子工序,0.005894,是
2021050472-10,8000179757,8000001353,8000225744,着色子工序,0.005894,是
2021050472-10,8000179757,8000001353,8000000002,着色子工序,1,是
2021050472-10,8000179757,8000001305,8000225740,着色子工序,0.005894,是
2021050472-10,8000179757,8000001305,8000000002,着色子工序,1,是
2021050472-10,8000179757,8000001413,8000000002,着色子工序,1,是
2021050472-10,8000179757,8000001341,8000225743,着色子工序,0.005894,是
2021050472-10,8000179757,8000001341,8000000002,着色子工序,1,是
2021050472-10,8000179757,8000001401,8000000002,着色子工序,1,是
2021050472-10,8000179757,8000001401,8000225748,着色子工序,0.005894,是
2021050472-10,8000179757,8000001377,8000225746,着色子工序,0.005894,是
2021050472-10,8000179757,8000001377,8000000002,着色子工序,1,是
2021050472-10,8000179757,8000001365,8000000002,着色子工序,1,是
2021050472-10,8000179757,8000001365,8000225745,着色子工序,0.005894,是
2021050472-10,8000179757,8000001269,8000225737,着色子工序,0.005894,是
2021050472-10,8000179757,8000001269,8000000002,着色子工序,1,是
2021050472-10,8000179757,8000001281,8000225738,着色子工序,0.005894,是
2021050472-10,8000179757,8000001281,8000000002,着色子工序,1,是
2021050472-10,8000179757,8000001293,8000000002,着色子工序,1,是
2021050472-10,8000179757,8000001293,8000225739,着色子工序,0.005894,是
2021055418-10,8000182403,8000182403,8000283379,外护子工序,0.328,是
2021055418-10,8000182403,8000182403,8000224420,外护子工序,92.44,是
2021055418-10,8000182403,8000182403,8000063122,外护子工序,1.026,8000063122
2021055418-10,8000182403,8000182403,8000258324,外护子工序,17.935,是
2021055418-10,8000182403,8000182403,8000223887,外护子工序,1.89,是
2021055418-10,8000182403,8000063122,8000032872,成缆子工序,1,8000032872
2021055418-10,8000182403,8000063122,8000225974,成缆子工序,10.714425,是
2021055418-10,8000182403,8000063122,8000032875,成缆子工序,1,8000032875
2021055418-10,8000182403,8000063122,8000032879,成缆子工序,1,8000032879
2021055418-10,8000182403,8000063122,8000032871,成缆子工序,1,8000032871
2021055418-10,8000182403,8000063122,8000224761,成缆子工序,1.517544,是
2021055418-10,8000182403,8000063122,8000032877,成缆子工序,1,8000032877
2021055418-10,8000182403,8000063122,8000032878,成缆子工序,1,8000032878
2021055418-10,8000182403,8000063122,8000270833,成缆子工序,1.023392,8000270833
2021055418-10,8000182403,8000063122,8000032874,成缆子工序,1,8000032874
2021055418-10,8000182403,8000063122,8000032873,成缆子工序,1,8000032873
2021055418-10,8000182403,8000063122,8000032869,成缆子工序,1,8000032869
2021055418-10,8000182403,8000063122,8000032880,成缆子工序,1,8000032880
2021055418-10,8000182403,8000063122,8000032870,成缆子工序,1,8000032870
2021055418-10,8000182403,8000063122,8000032876,成缆子工序,1,8000032876
2021055418-10,8000182403,8000063122,8000239096,成缆子工序,1.102339,是
2021055418-10,8000182403,8000032872,8000224609,套塑子工序,2.917154,是
2021055418-10,8000182403,8000032872,8000001281,套塑子工序,1,8000001281
2021055418-10,8000182403,8000032872,8000001329,套塑子工序,1,8000001329
2021055418-10,8000182403,8000032872,8000225972,套塑子工序,1.717349,是
2021055418-10,8000182403,8000032872,8000283273,套塑子工序,0.102339,是
2021055418-10,8000182403,8000032872,8000001365,套塑子工序,1,8000001365
2021055418-10,8000182403,8000032872,8000001293,套塑子工序,1,8000001293
2021055418-10,8000182403,8000032872,8000001317,套塑子工序,1,8000001317
2021055418-10,8000182403,8000032872,8000001353,套塑子工序,1,8000001353
2021055418-10,8000182403,8000032872,8000001341,套塑子工序,1,8000001341
2021055418-10,8000182403,8000032872,8000001377,套塑子工序,1,8000001377
2021055418-10,8000182403,8000032872,8000001389,套塑子工序,1,8000001389
2021055418-10,8000182403,8000032872,8000001401,套塑子工序,1,8000001401
2021055418-10,8000182403,8000032872,8000001305,套塑子工序,1,8000001305
2021055418-10,8000182403,8000032872,8000001269,套塑子工序,1,8000001269
2021055418-10,8000182403,8000032875,8000001317,套塑子工序,1,8000001317
2021055418-10,8000182403,8000032875,8000001305,套塑子工序,1,8000001305
2021055418-10,8000182403,8000032875,8000001341,套塑子工序,1,8000001341
2021055418-10,8000182403,8000032875,8000001329,套塑子工序,1,8000001329
2021055418-10,8000182403,8000032875,8000001293,套塑子工序,1,8000001293
2021055418-10,8000182403,8000032875,8000224609,套塑子工序,2.917154,是
2021055418-10,8000182403,8000032875,8000001389,套塑子工序,1,8000001389
2021055418-10,8000182403,8000032875,8000001401,套塑子工序,1,8000001401
2021055418-10,8000182403,8000032875,8000001377,套塑子工序,1,8000001377
2021055418-10,8000182403,8000032875,8000225972,套塑子工序,1.717349,是
2021055418-10,8000182403,8000032875,8000001269,套塑子工序,1,8000001269
2021055418-10,8000182403,8000032875,8000283276,套塑子工序,0.102339,是
2021055418-10,8000182403,8000032875,8000001365,套塑子工序,1,8000001365
2021055418-10,8000182403,8000032875,8000001353,套塑子工序,1,8000001353
2021055418-10,8000182403,8000032875,8000001281,套塑子工序,1,8000001281
2021055418-10,8000182403,8000032879,8000001377,套塑子工序,1,8000001377
2021055418-10,8000182403,8000032879,8000001389,套塑子工序,1,8000001389
2021055418-10,8000182403,8000032879,8000001293,套塑子工序,1,8000001293
2021055418-10,8000182403,8000032879,8000001365,套塑子工序,1,8000001365
2021055418-10,8000182403,8000032879,8000001317,套塑子工序,1,8000001317
2021055418-10,8000182403,8000032879,8000001353,套塑子工序,1,8000001353
2021055418-10,8000182403,8000032879,8000001341,套塑子工序,1,8000001341
2021055418-10,8000182403,8000032879,8000224609,套塑子工序,2.917154,是
2021055418-10,8000182403,8000032879,8000224623,套塑子工序,0.102339,是
2021055418-10,8000182403,8000032879,8000225972,套塑子工序,1.717349,是
2021055418-10,8000182403,8000032879,8000001401,套塑子工序,1,8000001401
2021055418-10,8000182403,8000032879,8000001269,套塑子工序,1,8000001269
2021055418-10,8000182403,8000032879,8000001329,套塑子工序,1,8000001329
2021055418-10,8000182403,8000032879,8000001281,套塑子工序,1,8000001281
2021055418-10,8000182403,8000032879,8000001305,套塑子工序,1,8000001305
2021055418-10,8000182403,8000032871,8000001353,套塑子工序,1,8000001353
2021055418-10,8000182403,8000032871,8000001329,套塑子工序,1,8000001329
2021055418-10,8000182403,8000032871,8000001401,套塑子工序,1,8000001401
2021055418-10,8000182403,8000032871,8000001365,套塑子工序,1,8000001365
2021055418-10,8000182403,8000032871,8000283272,套塑子工序,0.102339,是
2021055418-10,8000182403,8000032871,8000001281,套塑子工序,1,8000001281
2021055418-10,8000182403,8000032871,8000224609,套塑子工序,2.917154,是
2021055418-10,8000182403,8000032871,8000001293,套塑子工序,1,8000001293
2021055418-10,8000182403,8000032871,8000001269,套塑子工序,1,8000001269
2021055418-10,8000182403,8000032871,8000001389,套塑子工序,1,8000001389
2021055418-10,8000182403,8000032871,8000001305,套塑子工序,1,8000001305
2021055418-10,8000182403,8000032871,8000001377,套塑子工序,1,8000001377
2021055418-10,8000182403,8000032871,8000001341,套塑子工序,1,8000001341
2021055418-10,8000182403,8000032871,8000225972,套塑子工序,1.717349,是
2021055418-10,8000182403,8000032871,8000001317,套塑子工序,1,8000001317
2021055418-10,8000182403,8000032877,8000001269,套塑子工序,1,8000001269
2021055418-10,8000182403,8000032877,8000001329,套塑子工序,1,8000001329
2021055418-10,8000182403,8000032877,8000001317,套塑子工序,1,8000001317
2021055418-10,8000182403,8000032877,8000001401,套塑子工序,1,8000001401
2021055418-10,8000182403,8000032877,8000001365,套塑子工序,1,8000001365
2021055418-10,8000182403,8000032877,8000001281,套塑子工序,1,8000001281
2021055418-10,8000182403,8000032877,8000001377,套塑子工序,1,8000001377
2021055418-10,8000182403,8000032877,8000001353,套塑子工序,1,8000001353
2021055418-10,8000182403,8000032877,8000001293,套塑子工序,1,8000001293
2021055418-10,8000182403,8000032877,8000001341,套塑子工序,1,8000001341
2021055418-10,8000182403,8000032877,8000001389,套塑子工序,1,8000001389
2021055418-10,8000182403,8000032877,8000283278,套塑子工序,0.102339,是
2021055418-10,8000182403,8000032877,8000001305,套塑子工序,1,8000001305
2021055418-10,8000182403,8000032877,8000225972,套塑子工序,1.717349,是
2021055418-10,8000182403,8000032877,8000224609,套塑子工序,2.917154,是
2021055418-10,8000182403,8000032878,8000001329,套塑子工序,1,8000001329
2021055418-10,8000182403,8000032878,8000001317,套塑子工序,1,8000001317
2021055418-10,8000182403,8000032878,8000001305,套塑子工序,1,8000001305
2021055418-10,8000182403,8000032878,8000001389,套塑子工序,1,8000001389
2021055418-10,8000182403,8000032878,8000001353,套塑子工序,1,8000001353
2021055418-10,8000182403,8000032878,8000001293,套塑子工序,1,8000001293
2021055418-10,8000182403,8000032878,8000001281,套塑子工序,1,8000001281
2021055418-10,8000182403,8000032878,8000283279,套塑子工序,0.102339,是
2021055418-10,8000182403,8000032878,8000001377,套塑子工序,1,8000001377
2021055418-10,8000182403,8000032878,8000225972,套塑子工序,1.717349,是
2021055418-10,8000182403,8000032878,8000001341,套塑子工序,1,8000001341
2021055418-10,8000182403,8000032878,8000224609,套塑子工序,2.917154,是
2021055418-10,8000182403,8000032878,8000001401,套塑子工序,1,8000001401
2021055418-10,8000182403,8000032878,8000001365,套塑子工序,1,8000001365
2021055418-10,8000182403,8000032878,8000001269,套塑子工序,1,8000001269
2021055418-10,8000182403,8000270833,8000224419,加强件子工序,27.809524,是
2021055418-10,8000182403,8000270833,8000223854,加强件子工序,1,是
2021055418-10,8000182403,8000032874,8000001341,套塑子工序,1,8000001341
2021055418-10,8000182403,8000032874,8000001329,套塑子工序,1,8000001329
2021055418-10,8000182403,8000032874,8000001293,套塑子工序,1,8000001293
2021055418-10,8000182403,8000032874,8000001353,套塑子工序,1,8000001353
2021055418-10,8000182403,8000032874,8000001305,套塑子工序,1,8000001305
2021055418-10,8000182403,8000032874,8000001401,套塑子工序,1,8000001401
2021055418-10,8000182403,8000032874,8000001389,套塑子工序,1,8000001389
2021055418-10,8000182403,8000032874,8000001269,套塑子工序,1,8000001269
2021055418-10,8000182403,8000032874,8000001317,套塑子工序,1,8000001317
2021055418-10,8000182403,8000032874,8000001377,套塑子工序,1,8000001377
2021055418-10,8000182403,8000032874,8000225972,套塑子工序,1.717349,是
2021055418-10,8000182403,8000032874,8000224609,套塑子工序,2.917154,是
2021055418-10,8000182403,8000032874,8000001365,套塑子工序,1,8000001365
2021055418-10,8000182403,8000032874,8000001281,套塑子工序,1,8000001281
2021055418-10,8000182403,8000032873,8000001353,套塑子工序,1,8000001353
2021055418-10,8000182403,8000032873,8000001377,套塑子工序,1,8000001377
2021055418-10,8000182403,8000032873,8000001305,套塑子工序,1,8000001305
2021055418-10,8000182403,8000032873,8000001401,套塑子工序,1,8000001401
2021055418-10,8000182403,8000032873,8000224617,套塑子工序,0.102339,是
2021055418-10,8000182403,8000032873,8000001269,套塑子工序,1,8000001269
2021055418-10,8000182403,8000032873,8000224609,套塑子工序,2.917154,是
2021055418-10,8000182403,8000032873,8000001293,套塑子工序,1,8000001293
2021055418-10,8000182403,8000032873,8000001317,套塑子工序,1,8000001317
2021055418-10,8000182403,8000032873,8000001341,套塑子工序,1,8000001341
2021055418-10,8000182403,8000032873,8000001329,套塑子工序,1,8000001329
2021055418-10,8000182403,8000032873,8000001281,套塑子工序,1,8000001281
2021055418-10,8000182403,8000032873,8000001389,套塑子工序,1,8000001389
2021055418-10,8000182403,8000032873,8000225972,套塑子工序,1.717349,是
2021055418-10,8000182403,8000032873,8000001365,套塑子工序,1,8000001365
2021055418-10,8000182403,8000032869,8000283270,套塑子工序,0.102339,是
2021055418-10,8000182403,8000032869,8000001365,套塑子工序,1,8000001365
2021055418-10,8000182403,8000032869,8000225972,套塑子工序,1.717349,是
2021055418-10,8000182403,8000032869,8000001293,套塑子工序,1,8000001293
2021055418-10,8000182403,8000032869,8000001317,套塑子工序,1,8000001317
2021055418-10,8000182403,8000032869,8000001281,套塑子工序,1,8000001281
2021055418-10,8000182403,8000032869,8000001329,套塑子工序,1,8000001329
2021055418-10,8000182403,8000032869,8000001377,套塑子工序,1,8000001377
2021055418-10,8000182403,8000032869,8000001353,套塑子工序,1,8000001353
2021055418-10,8000182403,8000032869,8000001341,套塑子工序,1,8000001341
2021055418-10,8000182403,8000032869,8000001305,套塑子工序,1,8000001305
2021055418-10,8000182403,8000032869,8000001389,套塑子工序,1,8000001389
2021055418-10,8000182403,8000032869,8000224609,套塑子工序,2.917154,是
2021055418-10,8000182403,8000032869,8000001401,套塑子工序,1,8000001401
2021055418-10,8000182403,8000032869,8000001269,套塑子工序,1,8000001269
2021055418-10,8000182403,8000032880,8000001341,套塑子工序,1,8000001341
2021055418-10,8000182403,8000032880,8000001293,套塑子工序,1,8000001293
2021055418-10,8000182403,8000032880,8000001389,套塑子工序,1,8000001389
2021055418-10,8000182403,8000032880,8000001317,套塑子工序,1,8000001317
2021055418-10,8000182403,8000032880,8000001269,套塑子工序,1,8000001269
2021055418-10,8000182403,8000032880,8000001401,套塑子工序,1,8000001401
2021055418-10,8000182403,8000032880,8000001353,套塑子工序,1,8000001353
2021055418-10,8000182403,8000032880,8000224624,套塑子工序,0.102339,是
2021055418-10,8000182403,8000032880,8000001305,套塑子工序,1,8000001305
2021055418-10,8000182403,8000032880,8000225972,套塑子工序,1.717349,是
2021055418-10,8000182403,8000032880,8000001329,套塑子工序,1,8000001329
2021055418-10,8000182403,8000032880,8000224609,套塑子工序,2.917154,是
2021055418-10,8000182403,8000032880,8000001377,套塑子工序,1,8000001377
2021055418-10,8000182403,8000032880,8000001365,套塑子工序,1,8000001365
2021055418-10,8000182403,8000032880,8000001281,套塑子工序,1,8000001281
2021055418-10,8000182403,8000032870,8000001401,套塑子工序,1,8000001401
2021055418-10,8000182403,8000032870,8000283271,套塑子工序,0.102339,是
2021055418-10,8000182403,8000032870,8000001317,套塑子工序,1,8000001317
2021055418-10,8000182403,8000032870,8000001269,套塑子工序,1,8000001269
2021055418-10,8000182403,8000032870,8000001293,套塑子工序,1,8000001293
2021055418-10,8000182403,8000032870,8000001365,套塑子工序,1,8000001365
2021055418-10,8000182403,8000032870,8000001389,套塑子工序,1,8000001389
2021055418-10,8000182403,8000032870,8000001305,套塑子工序,1,8000001305
2021055418-10,8000182403,8000032870,8000001281,套塑子工序,1,8000001281
2021055418-10,8000182403,8000032870,8000001353,套塑子工序,1,8000001353
2021055418-10,8000182403,8000032870,8000225972,套塑子工序,1.717349,是
2021055418-10,8000182403,8000032870,8000001329,套塑子工序,1,8000001329
2021055418-10,8000182403,8000032870,8000001341,套塑子工序,1,8000001341
2021055418-10,8000182403,8000032870,8000224609,套塑子工序,2.917154,是
2021055418-10,8000182403,8000032870,8000001377,套塑子工序,1,8000001377
2021055418-10,8000182403,8000032876,8000224609,套塑子工序,2.917154,是
2021055418-10,8000182403,8000032876,8000225972,套塑子工序,1.717349,是
2021055418-10,8000182403,8000032876,8000283277,套塑子工序,0.102339,是
2021055418-10,8000182403,8000032876,8000001269,套塑子工序,1,8000001269
2021055418-10,8000182403,8000032876,8000001293,套塑子工序,1,8000001293
2021055418-10,8000182403,8000032876,8000001317,套塑子工序,1,8000001317
2021055418-10,8000182403,8000032876,8000001329,套塑子工序,1,8000001329
2021055418-10,8000182403,8000032876,8000001389,套塑子工序,1,8000001389
2021055418-10,8000182403,8000032876,8000001365,套塑子工序,1,8000001365
2021055418-10,8000182403,8000032876,8000001341,套塑子工序,1,8000001341
2021055418-10,8000182403,8000032876,8000001281,套塑子工序,1,8000001281
2021055418-10,8000182403,8000032876,8000001353,套塑子工序,1,8000001353
2021055418-10,8000182403,8000032876,8000001377,套塑子工序,1,8000001377
2021055418-10,8000182403,8000032876,8000001305,套塑子工序,1,8000001305
2021055418-10,8000182403,8000032876,8000001401,套塑子工序,1,8000001401
2021055418-10,8000182403,8000001281,8000225738,着色子工序,0.005848,是
2021055418-10,8000182403,8000001281,8000000002,着色子工序,1,是
2021055418-10,8000182403,8000001329,8000000002,着色子工序,1,是
2021055418-10,8000182403,8000001329,8000225742,着色子工序,0.005848,是
2021055418-10,8000182403,8000001365,8000000002,着色子工序,1,是
2021055418-10,8000182403,8000001365,8000225745,着色子工序,0.005848,是
2021055418-10,8000182403,8000001293,8000225739,着色子工序,0.005848,是
2021055418-10,8000182403,8000001293,8000000002,着色子工序,1,是
2021055418-10,8000182403,8000001317,8000000002,着色子工序,1,是
2021055418-10,8000182403,8000001317,8000225741,着色子工序,0.005848,是
2021055418-10,8000182403,8000001353,8000225744,着色子工序,0.005848,是
2021055418-10,8000182403,8000001353,8000000002,着色子工序,1,是
2021055418-10,8000182403,8000001341,8000000002,着色子工序,1,是
2021055418-10,8000182403,8000001341,8000225743,着色子工序,0.005848,是
2021055418-10,8000182403,8000001377,8000225746,着色子工序,0.005848,是
2021055418-10,8000182403,8000001377,8000000002,着色子工序,1,是
2021055418-10,8000182403,8000001389,8000225747,着色子工序,0.005848,是
2021055418-10,8000182403,8000001389,8000000002,着色子工序,1,是
2021055418-10,8000182403,8000001401,8000000002,着色子工序,1,是
2021055418-10,8000182403,8000001401,8000225748,着色子工序,0.005848,是
2021055418-10,8000182403,8000001305,8000225740,着色子工序,0.005848,是
2021055418-10,8000182403,8000001305,8000000002,着色子工序,1,是
2021055418-10,8000182403,8000001269,8000000002,着色子工序,1,是
2021055418-10,8000182403,8000001269,8000225737,着色子工序,0.005848,是
2021055411-90,8000182808,8000182808,8000279449,外护子工序,46.029,是
2021055411-90,8000182808,8000182808,8000283700,外护子工序,85.823,是
2021055411-90,8000182808,8000182808,8000160303,外护子工序,1,8000160303
2021055411-90,8000182808,8000182808,8000289317,外护子工序,1.402,是
2021055411-90,8000182808,8000160303,8000062582,内护子工序,1.025,8000062582
2021055411-90,8000182808,8000160303,8000239089,内护子工序,0.35,是
2021055411-90,8000182808,8000160303,8000225974,内护子工序,6.858,是
2021055411-90,8000182808,8000160303,8000224420,内护子工序,31.072,是
2021055411-90,8000182808,8000062582,8000239096,成缆子工序,0.346341,是
2021055411-90,8000182808,8000062582,8000031824,成缆子工序,1,8000031824
2021055411-90,8000182808,8000062582,8000031826,成缆子工序,1,8000031826
2021055411-90,8000182808,8000062582,8000031830,成缆子工序,1,8000031830
2021055411-90,8000182808,8000062582,8000031820,成缆子工序,1,8000031820
2021055411-90,8000182808,8000062582,8000031827,成缆子工序,1,8000031827
2021055411-90,8000182808,8000062582,8000031828,成缆子工序,1,8000031828
2021055411-90,8000182808,8000062582,8000031823,成缆子工序,1,8000031823
2021055411-90,8000182808,8000062582,8000031822,成缆子工序,1,8000031822
2021055411-90,8000182808,8000062582,8000051756,成缆子工序,1.02439,8000051756
2021055411-90,8000182808,8000062582,8000031821,成缆子工序,1,8000031821
2021055411-90,8000182808,8000062582,8000031825,成缆子工序,1,8000031825
2021055411-90,8000182808,8000062582,8000225974,成缆子工序,7.646829,是
2021055411-90,8000182808,8000062582,8000031829,成缆子工序,1,8000031829
2021055411-90,8000182808,8000062582,8000031819,成缆子工序,1,8000031819
2021055411-90,8000182808,8000031824,8000001389,套塑子工序,1,8000001389
2021055411-90,8000182808,8000031824,8000224609,套塑子工序,2.705366,是
2021055411-90,8000182808,8000031824,8000001281,套塑子工序,1,8000001281
2021055411-90,8000182808,8000031824,8000001269,套塑子工序,1,8000001269
2021055411-90,8000182808,8000031824,8000001365,套塑子工序,1,8000001365
2021055411-90,8000182808,8000031824,8000001305,套塑子工序,1,8000001305
2021055411-90,8000182808,8000031824,8000001353,套塑子工序,1,8000001353
2021055411-90,8000182808,8000031824,8000001317,套塑子工序,1,8000001317
2021055411-90,8000182808,8000031824,8000001293,套塑子工序,1,8000001293
2021055411-90,8000182808,8000031824,8000001377,套塑子工序,1,8000001377
2021055411-90,8000182808,8000031824,8000225972,套塑子工序,1.436098,是
2021055411-90,8000182808,8000031824,8000001401,套塑子工序,1,8000001401
2021055411-90,8000182808,8000031824,8000001329,套塑子工序,1,8000001329
2021055411-90,8000182808,8000031824,8000001341,套塑子工序,1,8000001341
2021055411-90,8000182808,8000031826,8000001293,套塑子工序,1,8000001293
2021055411-90,8000182808,8000031826,8000001341,套塑子工序,1,8000001341
2021055411-90,8000182808,8000031826,8000001305,套塑子工序,1,8000001305
2021055411-90,8000182808,8000031826,8000001281,套塑子工序,1,8000001281
2021055411-90,8000182808,8000031826,8000001353,套塑子工序,1,8000001353
2021055411-90,8000182808,8000031826,8000225972,套塑子工序,1.436098,是
2021055411-90,8000182808,8000031826,8000224609,套塑子工序,2.705366,是
2021055411-90,8000182808,8000031826,8000001365,套塑子工序,1,8000001365
2021055411-90,8000182808,8000031826,8000001401,套塑子工序,1,8000001401
2021055411-90,8000182808,8000031826,8000001329,套塑子工序,1,8000001329
2021055411-90,8000182808,8000031826,8000001389,套塑子工序,1,8000001389
2021055411-90,8000182808,8000031826,8000001377,套塑子工序,1,8000001377
2021055411-90,8000182808,8000031826,8000001317,套塑子工序,1,8000001317
2021055411-90,8000182808,8000031826,8000001269,套塑子工序,1,8000001269
2021055411-90,8000182808,8000031826,8000283277,套塑子工序,0.094634,是
2021055411-90,8000182808,8000031830,8000001401,套塑子工序,1,8000001401
2021055411-90,8000182808,8000031830,8000001317,套塑子工序,1,8000001317
2021055411-90,8000182808,8000031830,8000001353,套塑子工序,1,8000001353
2021055411-90,8000182808,8000031830,8000001389,套塑子工序,1,8000001389
2021055411-90,8000182808,8000031830,8000225972,套塑子工序,1.436098,是
2021055411-90,8000182808,8000031830,8000001293,套塑子工序,1,8000001293
2021055411-90,8000182808,8000031830,8000001305,套塑子工序,1,8000001305
2021055411-90,8000182808,8000031830,8000224609,套塑子工序,2.705366,是
2021055411-90,8000182808,8000031830,8000224624,套塑子工序,0.094634,是
2021055411-90,8000182808,8000031830,8000001341,套塑子工序,1,8000001341
2021055411-90,8000182808,8000031830,8000001365,套塑子工序,1,8000001365
2021055411-90,8000182808,8000031830,8000001377,套塑子工序,1,8000001377
2021055411-90,8000182808,8000031830,8000001269,套塑子工序,1,8000001269
2021055411-90,8000182808,8000031830,8000001329,套塑子工序,1,8000001329
2021055411-90,8000182808,8000031830,8000001281,套塑子工序,1,8000001281
2021055411-90,8000182808,8000031820,8000001377,套塑子工序,1,8000001377
2021055411-90,8000182808,8000031820,8000001389,套塑子工序,1,8000001389
2021055411-90,8000182808,8000031820,8000001293,套塑子工序,1,8000001293
2021055411-90,8000182808,8000031820,8000225972,套塑子工序,1.436098,是
2021055411-90,8000182808,8000031820,8000283271,套塑子工序,0.094634,是
2021055411-90,8000182808,8000031820,8000001281,套塑子工序,1,8000001281
2021055411-90,8000182808,8000031820,8000001353,套塑子工序,1,8000001353
2021055411-90,8000182808,8000031820,8000001401,套塑子工序,1,8000001401
2021055411-90,8000182808,8000031820,8000001305,套塑子工序,1,8000001305
2021055411-90,8000182808,8000031820,8000001317,套塑子工序,1,8000001317
2021055411-90,8000182808,8000031820,8000001329,套塑子工序,1,8000001329
2021055411-90,8000182808,8000031820,8000224609,套塑子工序,2.705366,是
2021055411-90,8000182808,8000031820,8000001269,套塑子工序,1,8000001269
