销售订单号,物料编码,子工序编码,时间单位,时间,产量,连续生产类别编码,设备编号,工作中心编码,换线时间,,,,,,,,,,,
2021050465-10,8000054552,A0020401,分,1,0.06,"G01030301,阻水纱+阻水带,,1+6,2,FRP",ST10,A00204,30,,,,,,,,,,,
2021050465-10,8000054552,A0020401,分,1,0.06,"G01030301,阻水纱+阻水带,,1+6,2,FRP",ST09,A00204,30,,,,,,,,,,,
2021050465-10,8000054552,A0020401,分,1,0.06,"G01030301,阻水纱+阻水带,,1+6,2,FRP",ST08,A00204,30,,,,,,,,,,,
2021050465-10,8000054552,A0020401,分,1,0.06,"G01030301,阻水纱+阻水带,,1+6,2,FRP",ST07,A00204,30,,,,,,,,,,,
2021050465-10,8000054552,A0020401,分,1,0.06,"G01030301,阻水纱+阻水带,,1+6,2,FRP",ST06,A00204,30,,,,,,,,,,,
2021050465-10,8000054552,A0020401,分,1,0.06,"G01030301,阻水纱+阻水带,,1+6,2,FRP",ST05,A00204,30,,,,,,,,,,,
2021050465-10,8000054552,A0020401,分,1,0.06,"G01030301,阻水纱+阻水带,,1+6,2,FRP",ST04,A00204,30,,,,,,,,,,,
2021050465-10,8000054552,A0020401,分,1,0.06,"G01030301,阻水纱+阻水带,,1+6,2,FRP",ST03,A00204,30,,,,,,,,,,,
2021050465-10,8000054552,A0020401,分,1,0.06,"G01030301,阻水纱+阻水带,,1+6,2,FRP",ST02,A00204,30,,,,,,,,,,,
2021050465-10,8000054552,A0020401,分,1,0.06,"G01030301,阻水纱+阻水带,,1+6,2,FRP",ST01,A00204,30,,,,,,,,,,,
2021050465-10,8000290601,A0020601,分,1,0.05,"G01031427,GYFKZY,,16.000,N,1+6,/2,2.2",SH11,A00206,20,,,,,,,,,,,
2021050465-10,8000290601,A0020601,分,1,0.05,"G01031427,GYFKZY,,16.000,N,1+6,/2,2.2",SH07,A00206,20,,,,,,,,,,,
2021050465-10,8000290601,A0020601,分,1,0.05,"G01031427,GYFKZY,,16.000,N,1+6,/2,2.2",SH21,A00206,20,,,,,,,,,,,
2021050465-10,8000290601,A0020601,分,1,0.05,"G01031427,GYFKZY,,16.000,N,1+6,/2,2.2",SH01,A00206,20,,,,,,,,,,,
2021050465-10,8000030022,A0020301,分,1,0.25,"G01030201,,,,棕,2,6,",SC11,A00203,30,,,,,,,,,,,
2021050465-10,8000030022,A0020301,分,1,0.3,"G01030201,,,,棕,2,6,",SC08,A00203,30,,,,,,,,,,,
2021050465-10,8000030022,A0020301,分,1,0.3,"G01030201,,,,棕,2,6,",SC04,A00203,30,,,,,,,,,,,
2021050465-10,8000030022,A0020301,分,1,0.26,"G01030201,,,,棕,2,6,",SC09,A00203,30,,,,,,,,,,,
2021050465-10,8000030022,A0020301,分,1,0.3,"G01030201,,,,棕,2,6,",SC07,A00203,30,,,,,,,,,,,
2021050465-10,8000030022,A0020301,分,1,0.26,"G01030201,,,,棕,2,6,",SC02,A00203,30,,,,,,,,,,,
2021050465-10,8000030022,A0020301,分,1,0.26,"G01030201,,,,棕,2,6,",SC01,A00203,30,,,,,,,,,,,
2021050465-10,8000030022,A0020301,分,1,0.28,"G01030201,,,,棕,2,6,",SC10,A00203,30,,,,,,,,,,,
2021050465-10,8000030022,A0020301,分,1,0.26,"G01030201,,,,棕,2,6,",SC06,A00203,30,,,,,,,,,,,
2021050465-10,8000030022,A0020301,分,1,0.2,"G01030201,,,,棕,2,6,",SC19,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.2,"G01030201,,,,红,2.5,12,",SC19,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.18,"G01030201,,,,红,2.5,12,",SC18,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.2,"G01030201,,,,红,2.5,12,",SC11,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.26,"G01030201,,,,红,2.5,12,",SC17,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.2,"G01030201,,,,红,2.5,12,",SC15,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.33,"G01030201,,,,红,2.5,12,",SC08,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.3,"G01030201,,,,红,2.5,12,",SC16,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.2,"G01030201,,,,红,2.5,12,",SC05,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.25,"G01030201,,,,红,2.5,12,",SC01,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.2,"G01030201,,,,红,2.5,12,",SC10,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.2,"G01030201,,,,红,2.5,12,",SC09,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.3,"G01030201,,,,红,2.5,12,",SC04,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.3,"G01030201,,,,红,2.5,12,",SC03,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.3,"G01030201,,,,红,2.5,12,",SC07,A00203,30,,,,,,,,,,,
2021050385-30,8000033400,A0020301,分,1,0.26,"G01030201,,,,红,2.5,12,",SC02,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.3,"G01030201,,,,绿,2.5,12,",SC07,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.26,"G01030201,,,,绿,2.5,12,",SC02,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.3,"G01030201,,,,绿,2.5,12,",SC16,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.2,"G01030201,,,,绿,2.5,12,",SC15,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.2,"G01030201,,,,绿,2.5,12,",SC05,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.3,"G01030201,,,,绿,2.5,12,",SC03,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.25,"G01030201,,,,绿,2.5,12,",SC01,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.18,"G01030201,,,,绿,2.5,12,",SC18,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.26,"G01030201,,,,绿,2.5,12,",SC17,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.33,"G01030201,,,,绿,2.5,12,",SC08,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.2,"G01030201,,,,绿,2.5,12,",SC19,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.2,"G01030201,,,,绿,2.5,12,",SC11,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.3,"G01030201,,,,绿,2.5,12,",SC04,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.2,"G01030201,,,,绿,2.5,12,",SC10,A00203,30,,,,,,,,,,,
2021050385-30,8000033396,A0020301,分,1,0.2,"G01030201,,,,绿,2.5,12,",SC09,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.3,"G01030201,,,,白,2.5,12,",SC16,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.25,"G01030201,,,,白,2.5,12,",SC01,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.2,"G01030201,,,,白,2.5,12,",SC15,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.3,"G01030201,,,,白,2.5,12,",SC07,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.26,"G01030201,,,,白,2.5,12,",SC02,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.3,"G01030201,,,,白,2.5,12,",SC04,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.18,"G01030201,,,,白,2.5,12,",SC18,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.2,"G01030201,,,,白,2.5,12,",SC09,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.33,"G01030201,,,,白,2.5,12,",SC08,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.2,"G01030201,,,,白,2.5,12,",SC19,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.2,"G01030201,,,,白,2.5,12,",SC05,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.3,"G01030201,,,,白,2.5,12,",SC03,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.26,"G01030201,,,,白,2.5,12,",SC17,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.2,"G01030201,,,,白,2.5,12,",SC11,A00203,30,,,,,,,,,,,
2021050385-30,8000033399,A0020301,分,1,0.2,"G01030201,,,,白,2.5,12,",SC10,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.26,"G01030201,,,,灰,2.5,12,",SC17,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.2,"G01030201,,,,灰,2.5,12,",SC15,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.3,"G01030201,,,,灰,2.5,12,",SC07,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.18,"G01030201,,,,灰,2.5,12,",SC18,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.3,"G01030201,,,,灰,2.5,12,",SC16,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.25,"G01030201,,,,灰,2.5,12,",SC01,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.2,"G01030201,,,,灰,2.5,12,",SC09,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.33,"G01030201,,,,灰,2.5,12,",SC08,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.2,"G01030201,,,,灰,2.5,12,",SC05,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.3,"G01030201,,,,灰,2.5,12,",SC03,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.2,"G01030201,,,,灰,2.5,12,",SC19,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.2,"G01030201,,,,灰,2.5,12,",SC11,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.2,"G01030201,,,,灰,2.5,12,",SC10,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.3,"G01030201,,,,灰,2.5,12,",SC04,A00203,30,,,,,,,,,,,
2021050385-30,8000033398,A0020301,分,1,0.26,"G01030201,,,,灰,2.5,12,",SC02,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.3,"G01030201,,,,棕,2.5,12,",SC03,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.25,"G01030201,,,,棕,2.5,12,",SC01,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.2,"G01030201,,,,棕,2.5,12,",SC15,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.33,"G01030201,,,,棕,2.5,12,",SC08,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.2,"G01030201,,,,棕,2.5,12,",SC10,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.2,"G01030201,,,,棕,2.5,12,",SC09,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.2,"G01030201,,,,棕,2.5,12,",SC05,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.3,"G01030201,,,,棕,2.5,12,",SC04,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.2,"G01030201,,,,棕,2.5,12,",SC19,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.18,"G01030201,,,,棕,2.5,12,",SC18,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.26,"G01030201,,,,棕,2.5,12,",SC17,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.2,"G01030201,,,,棕,2.5,12,",SC11,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.3,"G01030201,,,,棕,2.5,12,",SC16,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.3,"G01030201,,,,棕,2.5,12,",SC07,A00203,30,,,,,,,,,,,
2021050385-30,8000033397,A0020301,分,1,0.26,"G01030201,,,,棕,2.5,12,",SC02,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.26,"G01030201,,,,黑,2.5,12,",SC17,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.2,"G01030201,,,,黑,2.5,12,",SC19,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.18,"G01030201,,,,黑,2.5,12,",SC18,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.2,"G01030201,,,,黑,2.5,12,",SC11,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.2,"G01030201,,,,黑,2.5,12,",SC05,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.25,"G01030201,,,,黑,2.5,12,",SC01,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.2,"G01030201,,,,黑,2.5,12,",SC15,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.33,"G01030201,,,,黑,2.5,12,",SC08,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.3,"G01030201,,,,黑,2.5,12,",SC03,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.3,"G01030201,,,,黑,2.5,12,",SC16,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.3,"G01030201,,,,黑,2.5,12,",SC07,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.26,"G01030201,,,,黑,2.5,12,",SC02,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.2,"G01030201,,,,黑,2.5,12,",SC10,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.2,"G01030201,,,,黑,2.5,12,",SC09,A00203,30,,,,,,,,,,,
2021050385-30,8000033401,A0020301,分,1,0.3,"G01030201,,,,黑,2.5,12,",SC04,A00203,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,CS05,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,CS01,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH38,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH24,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH23,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH22,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH21,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH20,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH19,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH18,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH17,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH16,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH15,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH13,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH12,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH11,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH10,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH09,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH08,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH07,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH06,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH05,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH04,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH03,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH02,A00208,30,,,,,,,,,,,
2021050385-30,8000051791,A0020302,分,1,0.05,8000051791,SH01,A00208,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.2,"G01030201,,,,橙,2.5,12,",SC19,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.18,"G01030201,,,,橙,2.5,12,",SC18,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.26,"G01030201,,,,橙,2.5,12,",SC17,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.25,"G01030201,,,,橙,2.5,12,",SC01,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.3,"G01030201,,,,橙,2.5,12,",SC16,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.3,"G01030201,,,,橙,2.5,12,",SC07,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.26,"G01030201,,,,橙,2.5,12,",SC02,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.2,"G01030201,,,,橙,2.5,12,",SC11,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.2,"G01030201,,,,橙,2.5,12,",SC10,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.2,"G01030201,,,,橙,2.5,12,",SC09,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.3,"G01030201,,,,橙,2.5,12,",SC04,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.2,"G01030201,,,,橙,2.5,12,",SC05,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.3,"G01030201,,,,橙,2.5,12,",SC03,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.2,"G01030201,,,,橙,2.5,12,",SC15,A00203,30,,,,,,,,,,,
2021050385-30,8000033395,A0020301,分,1,0.33,"G01030201,,,,橙,2.5,12,",SC08,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.3,"G01030201,,,,蓝,2.5,12,",SC16,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.2,"G01030201,,,,蓝,2.5,12,",SC15,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.2,"G01030201,,,,蓝,2.5,12,",SC05,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.3,"G01030201,,,,蓝,2.5,12,",SC07,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.26,"G01030201,,,,蓝,2.5,12,",SC02,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.2,"G01030201,,,,蓝,2.5,12,",SC19,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.2,"G01030201,,,,蓝,2.5,12,",SC11,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.2,"G01030201,,,,蓝,2.5,12,",SC09,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.3,"G01030201,,,,蓝,2.5,12,",SC04,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.2,"G01030201,,,,蓝,2.5,12,",SC10,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.3,"G01030201,,,,蓝,2.5,12,",SC03,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.25,"G01030201,,,,蓝,2.5,12,",SC01,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.33,"G01030201,,,,蓝,2.5,12,",SC08,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.18,"G01030201,,,,蓝,2.5,12,",SC18,A00203,30,,,,,,,,,,,
2021050385-30,8000033394,A0020301,分,1,0.26,"G01030201,,,,蓝,2.5,12,",SC17,A00203,30,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH12,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH11,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH10,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH09,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH08,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH07,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH19,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH18,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH16,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH15,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH13,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH21,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH20,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH05,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH04,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH03,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH02,A00206,20,,,,,,,,,,,
2021050385-30,8000176161,A0020601,分,1,0.04,"G01030507,GYTA,0,0.000,N,1+8,/2.5,1.95",SH01,A00206,20,,,,,,,,,,,
2021050385-30,8000058711,A0020401,分,1,0.05,"G01030301,充油,,1+8,2.5,钢丝",ST18,A00204,30,,,,,,,,,,,
2021050385-30,8000058711,A0020401,分,1,0.05,"G01030301,充油,,1+8,2.5,钢丝",ST17,A00204,30,,,,,,,,,,,
2021050385-30,8000058711,A0020401,分,1,0.05,"G01030301,充油,,1+8,2.5,钢丝",ST16,A00204,30,,,,,,,,,,,
2021050385-30,8000058711,A0020401,分,1,0.05,"G01030301,充油,,1+8,2.5,钢丝",ST15,A00204,30,,,,,,,,,,,
2021050385-30,8000058711,A0020401,分,1,0.05,"G01030301,充油,,1+8,2.5,钢丝",ST13,A00204,30,,,,,,,,,,,
2021050385-30,8000058711,A0020401,分,1,0.05,"G01030301,充油,,1+8,2.5,钢丝",ST12,A00204,30,,,,,,,,,,,
2021050385-30,8000058711,A0020401,分,1,0.05,"G01030301,充油,,1+8,2.5,钢丝",ST11,A00204,30,,,,,,,,,,,
2021050385-30,8000058711,A0020401,分,1,0.05,"G01030301,充油,,1+8,2.5,钢丝",ST10,A00204,30,,,,,,,,,,,
2021050385-30,8000058711,A0020401,分,1,0.05,"G01030301,充油,,1+8,2.5,钢丝",ST09,A00204,30,,,,,,,,,,,
2021050385-30,8000058711,A0020401,分,1,0.05,"G01030301,充油,,1+8,2.5,钢丝",ST03,A00204,30,,,,,,,,,,,
2021050385-30,8000058711,A0020401,分,1,0.05,"G01030301,充油,,1+8,2.5,钢丝",ST02,A00204,30,,,,,,,,,,,
2021050385-30,8000058711,A0020401,分,1,0.05,"G01030301,充油,,1+8,2.5,钢丝",ST01,A00204,30,,,,,,,,,,,
2021050505-10,8000055542,A0020401,分,1,0.06,"G01030301,无,,1+6,2.4,FRP",ST19,A00204,30,,,,,,,,,,,
2021050505-10,8000055542,A0020401,分,1,0.06,"G01030301,无,,1+6,2.4,FRP",ST18,A00204,30,,,,,,,,,,,
2021050505-10,8000055542,A0020401,分,1,0.06,"G01030301,无,,1+6,2.4,FRP",ST17,A00204,30,,,,,,,,,,,
2021050505-10,8000055542,A0020401,分,1,0.06,"G01030301,无,,1+6,2.4,FRP",ST16,A00204,30,,,,,,,,,,,
2021050505-10,8000055542,A0020401,分,1,0.06,"G01030301,无,,1+6,2.4,FRP",ST15,A00204,30,,,,,,,,,,,
2021050505-10,8000055542,A0020401,分,1,0.04,"G01030301,无,,1+6,2.4,FRP",ST13,A00204,30,,,,,,,,,,,
2021050505-10,8000055542,A0020401,分,1,0.04,"G01030301,无,,1+6,2.4,FRP",ST12,A00204,30,,,,,,,,,,,
2021050505-10,8000055542,A0020401,分,1,0.04,"G01030301,无,,1+6,2.4,FRP",ST11,A00204,30,,,,,,,,,,,
2021050505-10,8000055542,A0020401,分,1,0.06,"G01030301,无,,1+6,2.4,FRP",ST10,A00204,30,,,,,,,,,,,
2021050505-10,8000055542,A0020401,分,1,0.06,"G01030301,无,,1+6,2.4,FRP",ST09,A00204,30,,,,,,,,,,,
2021050505-10,8000055542,A0020401,分,1,0.06,"G01030301,无,,1+6,2.4,FRP",ST08,A00204,30,,,,,,,,,,,
2021050505-10,8000055542,A0020401,分,1,0.06,"G01030301,无,,1+6,2.4,FRP",ST07,A00204,30,,,,,,,,,,,
2021050505-10,8000055542,A0020401,分,1,0.06,"G01030301,无,,1+6,2.4,FRP",ST06,A00204,30,,,,,,,,,,,
